message_id,user_id,conversation_type,group_id,business_id,sender_user_id,created_at,message_text,media_type,media_id,forwarded_count,action,message_type,reason,confidence,evidence_message_ids
msg_0001,user_002,personal,,,user_007,2026-08-01T18:45:53.145477,URGENT OTP: Your verification code is 948201. Do not share with anyone.,,,0,notify,urgent,Critical time-sensitive security authentication OTP,0.9,hist_msg_0001
msg_0002,user_003,group,group_003,,user_008,2026-08-01T18:30:53.145477,"Hey @user_001, can you send the slide deck before 5pm meeting?",,,1,notify,personal,Direct user mention requiring urgent work item reply,0.96,hist_msg_0002
msg_0003,user_004,business,,biz_004,,2026-08-01T18:15:53.145477,Your Swiggy order #84920 has been picked up by delivery partner.,,,1,notify,business_update,Active user order status update from verified business,0.95,hist_msg_0003
msg_0004,user_005,personal,,,user_010,2026-08-01T18:00:53.145477,"CONGRATULATIONS! You won $50,000 lottery! Click http://scam-win.xyz to claim now!",,,0,mute,scam,Phishing link scam detected from unknown sender,0.89,hist_msg_0004
msg_0005,user_006,business,,biz_006,,2026-08-01T17:45:53.145477,50% OFF Flash Sale on shoes! Use code SHOE50 today only!,image,img_001,1,digest,promotion,Marketing promo poster; added to daily digest,0.92,hist_msg_0005
msg_0006,user_007,group,group_007,,user_012,2026-08-01T17:30:53.145477,Please pay monthly maintenance fee of Rs 2500 by 10th August.,image,img_002,1,digest,payment,Society bill payment reminder; routed to digest,0.9,hist_msg_0006
msg_0007,user_008,personal,,,user_013,2026-08-01T17:15:53.145477,Voice Note Audio Message,voice,vn_001,1,notify,urgent,Voice message requesting urgent project file transmission,0.94,hist_msg_0007
msg_0008,user_009,personal,,,user_014,2026-08-01T17:00:53.145477,Your account will be suspended in 1 hour unless you verify details here: http://phish-bank.biz,voice,vn_003,0,mute,scam,Fraudulent bank suspension voice scam,0.96,hist_msg_0008
msg_0009,user_010,group,group_010,,user_015,2026-08-01T16:45:53.145477,Good morning everyone! Have a nice weekend!,,,0,mute,greeting,Low-priority routine group greeting,0.98,hist_msg_0009
msg_0010,user_011,group,group_001,,user_016,2026-08-01T16:30:53.145477,Forwarded many times: Drink lemon tea to cure all viruses!,,,24,mute,forward,Highly forwarded unverified viral chain message,0.96,hist_msg_0010
