message_id,user_id,conversation_type,group_id,business_id,sender_user_id,created_at,message_text,media_type,media_id,forwarded_count
msg_0001,user_002,personal,,,user_007,2026-08-01T18:45:53.145477,URGENT OTP: Your verification code is 948201. Do not share with anyone.,,,0
msg_0002,user_003,group,group_003,,user_008,2026-08-01T18:30:53.145477,"Hey @user_001, can you send the slide deck before 5pm meeting?",,,1
msg_0003,user_004,business,,biz_004,,2026-08-01T18:15:53.145477,Your Swiggy order #84920 has been picked up by delivery partner.,,,1
msg_0004,user_005,personal,,,user_010,2026-08-01T18:00:53.145477,"CONGRATULATIONS! You won $50,000 lottery! Click http://scam-win.xyz to claim now!",,,0
msg_0005,user_006,business,,biz_006,,2026-08-01T17:45:53.145477,50% OFF Flash Sale on shoes! Use code SHOE50 today only!,image,img_001,1
msg_0006,user_007,group,group_007,,user_012,2026-08-01T17:30:53.145477,Please pay monthly maintenance fee of Rs 2500 by 10th August.,image,img_002,1
msg_0007,user_008,personal,,,user_013,2026-08-01T17:15:53.145477,Voice Note Audio Message,voice,vn_001,1
msg_0008,user_009,personal,,,user_014,2026-08-01T17:00:53.145477,Your account will be suspended in 1 hour unless you verify details here: http://phish-bank.biz,voice,vn_003,0
msg_0009,user_010,group,group_010,,user_015,2026-08-01T16:45:53.145477,Good morning everyone! Have a nice weekend!,,,0
msg_0010,user_011,group,group_001,,user_016,2026-08-01T16:30:53.145477,Forwarded many times: Drink lemon tea to cure all viruses!,,,24
msg_0011,user_012,personal,,,user_017,2026-08-01T16:15:53.145477,URGENT OTP: Your verification code is 948201. Do not share with anyone.,,,1
msg_0012,user_013,group,group_003,,user_018,2026-08-01T16:00:53.145477,"Hey @user_001, can you send the slide deck before 5pm meeting?",,,0
msg_0013,user_014,business,,biz_006,,2026-08-01T15:45:53.145477,Your Swiggy order #84920 has been picked up by delivery partner.,,,1
msg_0014,user_015,personal,,,user_020,2026-08-01T15:30:53.145477,"CONGRATULATIONS! You won $50,000 lottery! Click http://scam-win.xyz to claim now!",,,0
msg_0015,user_016,business,,biz_008,,2026-08-01T15:15:53.145477,50% OFF Flash Sale on shoes! Use code SHOE50 today only!,image,img_001,0
msg_0016,user_017,group,group_007,,user_022,2026-08-01T15:00:53.145477,Please pay monthly maintenance fee of Rs 2500 by 10th August.,image,img_002,0
msg_0017,user_018,personal,,,user_023,2026-08-01T14:45:53.145477,Voice Note Audio Message,voice,vn_001,1
msg_0018,user_019,personal,,,user_024,2026-08-01T14:30:53.145477,Your account will be suspended in 1 hour unless you verify details here: http://phish-bank.biz,voice,vn_003,0
msg_0019,user_020,group,group_010,,user_025,2026-08-01T14:15:53.145477,Good morning everyone! Have a nice weekend!,,,0
msg_0020,user_021,group,group_001,,user_026,2026-08-01T14:00:53.145477,Forwarded many times: Drink lemon tea to cure all viruses!,,,8
msg_0021,user_022,personal,,,user_027,2026-08-01T13:45:53.145477,URGENT OTP: Your verification code is 948201. Do not share with anyone.,,,0
msg_0022,user_023,group,group_003,,user_028,2026-08-01T13:30:53.145477,"Hey @user_001, can you send the slide deck before 5pm meeting?",,,0
msg_0023,user_024,business,,biz_008,,2026-08-01T13:15:53.145477,Your Swiggy order #84920 has been picked up by delivery partner.,,,0
msg_0024,user_025,personal,,,user_030,2026-08-01T13:00:53.145477,"CONGRATULATIONS! You won $50,000 lottery! Click http://scam-win.xyz to claim now!",,,1
msg_0025,user_026,business,,biz_002,,2026-08-01T12:45:53.145477,50% OFF Flash Sale on shoes! Use code SHOE50 today only!,image,img_001,0
msg_0026,user_027,group,group_007,,user_032,2026-08-01T12:30:53.145477,Please pay monthly maintenance fee of Rs 2500 by 10th August.,image,img_002,1
msg_0027,user_028,personal,,,user_033,2026-08-01T12:15:53.145477,Voice Note Audio Message,voice,vn_001,0
msg_0028,user_029,personal,,,user_034,2026-08-01T12:00:53.145477,Your account will be suspended in 1 hour unless you verify details here: http://phish-bank.biz,voice,vn_003,1
msg_0029,user_030,group,group_010,,user_035,2026-08-01T11:45:53.145477,Good morning everyone! Have a nice weekend!,,,1
msg_0030,user_031,group,group_001,,user_036,2026-08-01T11:30:53.145477,Forwarded many times: Drink lemon tea to cure all viruses!,,,20
